Artikelnummer,FAQ
C9300-24U,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24U ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24U?||Der C9300-24U bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-24U?||Der C9300-24U stellt Ja (Cisco UPOE, 60 W/Port, Budget 830 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24U stapeln (Stacking)?||Ja. Der C9300-24U unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48U,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48U ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48U?||Der C9300-48U bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-48U?||Der C9300-48U stellt Ja (Cisco UPOE, 60 W/Port, Budget 822 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48U stapeln (Stacking)?||Ja. Der C9300-48U unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24UX,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24UX ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24UX?||Der C9300-24UX bietet insgesamt 24 Ports: 24× 10G-Multigigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-24UX?||Der C9300-24UX stellt Ja (Cisco UPOE, 60 W/Port, Budget 560 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24UX stapeln (Stacking)?||Ja. Der C9300-24UX unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48UXM,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48UXM ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48UXM?||Der C9300-48UXM bietet insgesamt 48 Ports: 36× 2,5G-Multigigabit-RJ45 (UPOE) + 12× 10G-Multigigabit-RJ45 (UPOE).##Wie hoch ist das PoE-Budget des C9300-48UXM?||Der C9300-48UXM stellt Ja (Cisco UPOE, 60 W/Port, Budget 490 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48UXM stapeln (Stacking)?||Ja. Der C9300-48UXM unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48UN,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48UN ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48UN?||Der C9300-48UN bietet insgesamt 48 Ports: 48× 5G-Multigigabit-RJ45 (UPOE).##Wie hoch ist das PoE-Budget des C9300-48UN?||Der C9300-48UN stellt Ja (Cisco UPOE, 60 W/Port, Budget 645 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48UN stapeln (Stacking)?||Ja. Der C9300-48UN unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24UB,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24UB ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24UB?||Der C9300-24UB bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-24UB?||Der C9300-24UB stellt Ja (Cisco UPOE, 60 W/Port, Budget 830 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24UB stapeln (Stacking)?||Ja. Der C9300-24UB unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24UXB,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24UXB ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24UXB?||Der C9300-24UXB bietet insgesamt 24 Ports: 24× 10G-Multigigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-24UXB?||Der C9300-24UXB stellt Ja (Cisco UPOE, 60 W/Port, Budget 560 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24UXB stapeln (Stacking)?||Ja. Der C9300-24UXB unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48UB,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48UB ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48UB?||Der C9300-48UB bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (UPOE, 60 W).##Wie hoch ist das PoE-Budget des C9300-48UB?||Der C9300-48UB stellt Ja (Cisco UPOE, 60 W/Port, Budget 822 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48UB stapeln (Stacking)?||Ja. Der C9300-48UB unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24H,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24H ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24H?||Der C9300-24H bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (UPOE+, 90 W).##Wie hoch ist das PoE-Budget des C9300-24H?||Der C9300-24H stellt Ja (Cisco UPOE+, 90 W/Port, Budget 830 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24H stapeln (Stacking)?||Ja. Der C9300-24H unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48H,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48H ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48H?||Der C9300-48H bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (UPOE+, 90 W).##Wie hoch ist das PoE-Budget des C9300-48H?||Der C9300-48H stellt Ja (Cisco UPOE+, 90 W/Port, Budget 822 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48H stapeln (Stacking)?||Ja. Der C9300-48H unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24S,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24S ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24S?||Der C9300-24S bietet insgesamt 24 Ports: 24× 1G-SFP.##Unterstützt der C9300-24S Layer-3-Routing?||Ja. Der C9300-24S ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300-24S stapeln (Stacking)?||Ja. Der C9300-24S unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48S,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48S ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48S?||Der C9300-48S bietet insgesamt 48 Ports: 48× 1G-SFP.##Unterstützt der C9300-48S Layer-3-Routing?||Ja. Der C9300-48S ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300-48S stapeln (Stacking)?||Ja. Der C9300-48S unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-24T-4G,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-24T-4G ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-24T-4G?||Der C9300L-24T-4G bietet insgesamt 28 Ports: 24× Gigabit-RJ45 (Data) + 4× 1G-SFP (Uplink).##Unterstützt der C9300L-24T-4G Layer-3-Routing?||Ja. Der C9300L-24T-4G ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300L-24T-4G stapeln (Stacking)?||Ja. Der C9300L-24T-4G unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-24T-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-24T-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-24T-4X?||Der C9300L-24T-4X bietet insgesamt 28 Ports: 24× Gigabit-RJ45 (Data) + 4× 10G/1G-SFP+ (Uplink).##Unterstützt der C9300L-24T-4X Layer-3-Routing?||Ja. Der C9300L-24T-4X ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300L-24T-4X stapeln (Stacking)?||Ja. Der C9300L-24T-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48T-4G,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48T-4G ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48T-4G?||Der C9300L-48T-4G bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (Data) + 4× 1G-SFP (Uplink).##Unterstützt der C9300L-48T-4G Layer-3-Routing?||Ja. Der C9300L-48T-4G ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300L-48T-4G stapeln (Stacking)?||Ja. Der C9300L-48T-4G unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48T-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48T-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48T-4X?||Der C9300L-48T-4X bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (Data) + 4× 10G/1G-SFP+ (Uplink).##Unterstützt der C9300L-48T-4X Layer-3-Routing?||Ja. Der C9300L-48T-4X ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300L-48T-4X stapeln (Stacking)?||Ja. Der C9300L-48T-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-24P-4G,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-24P-4G ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-24P-4G?||Der C9300L-24P-4G bietet insgesamt 28 Ports: 24× Gigabit-RJ45 (PoE+, 30 W) + 4× 1G-SFP (Uplink).##Wie hoch ist das PoE-Budget des C9300L-24P-4G?||Der C9300L-24P-4G stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 505 W bei 715-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-24P-4G stapeln (Stacking)?||Ja. Der C9300L-24P-4G unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-24P-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-24P-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-24P-4X?||Der C9300L-24P-4X bietet insgesamt 28 Ports: 24× Gigabit-RJ45 (PoE+, 30 W) + 4× 10G/1G-SFP+ (Uplink).##Wie hoch ist das PoE-Budget des C9300L-24P-4X?||Der C9300L-24P-4X stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 505 W bei 715-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-24P-4X stapeln (Stacking)?||Ja. Der C9300L-24P-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48P-4G,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48P-4G ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48P-4G?||Der C9300L-48P-4G bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (PoE+, 30 W) + 4× 1G-SFP (Uplink).##Wie hoch ist das PoE-Budget des C9300L-48P-4G?||Der C9300L-48P-4G stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 505 W bei 715-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-48P-4G stapeln (Stacking)?||Ja. Der C9300L-48P-4G unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48P-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48P-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48P-4X?||Der C9300L-48P-4X bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (PoE+, 30 W) + 4× 10G/1G-SFP+ (Uplink).##Wie hoch ist das PoE-Budget des C9300L-48P-4X?||Der C9300L-48P-4X stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 505 W bei 715-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-48P-4X stapeln (Stacking)?||Ja. Der C9300L-48P-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48PF-4G,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48PF-4G ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48PF-4G?||Der C9300L-48PF-4G bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (PoE+, 30 W) + 4× 1G-SFP (Uplink).##Wie hoch ist das PoE-Budget des C9300L-48PF-4G?||Der C9300L-48PF-4G stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 890 W bei 1100-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-48PF-4G stapeln (Stacking)?||Ja. Der C9300L-48PF-4G unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-48PF-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-48PF-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-48PF-4X?||Der C9300L-48PF-4X bietet insgesamt 52 Ports: 48× Gigabit-RJ45 (PoE+, 30 W) + 4× 10G/1G-SFP+ (Uplink).##Wie hoch ist das PoE-Budget des C9300L-48PF-4X?||Der C9300L-48PF-4X stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 890 W bei 1100-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-48PF-4X stapeln (Stacking)?||Ja. Der C9300L-48PF-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300L-24UXG-4X,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300L-24UXG-4X ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300L-24UXG-4X?||Der C9300L-24UXG-4X bietet insgesamt 28 Ports: 8× 10G-Multigigabit-RJ45 (UPOE) + 16× Gigabit-RJ45 (UPOE) + 4× 10G/1G-SFP+ (Uplink).##Wie hoch ist das PoE-Budget des C9300L-24UXG-4X?||Der C9300L-24UXG-4X stellt Ja (Cisco UPOE, 60 W/Port, Budget 880 W bei 1100-W-Netzteil) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300L-24UXG-4X stapeln (Stacking)?||Ja. Der C9300L-24UXG-4X unterstützt Ja (StackWise-320, 320 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
