Artikelnummer,FAQ
40G-QSFP-ER4-1,"Welche Reichweite erreicht der 40G-QSFP-ER4-1?||Er überbrückt Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-QSFP-ER4-1?||Das 40G-QSFP-ER4-1 hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-ER4."
40G-DACP-QSFPZ5M,"Wie lang ist das 40G-DACP-QSFPZ5M?||Das Kabel hat eine feste Länge von 0,5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 40G-DACP-QSFPZ5M?||Das 40G-DACP-QSFPZ5M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-DACP-QSFP1M,"Wie lang ist das 40G-DACP-QSFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 40G-DACP-QSFP1M?||Das 40G-DACP-QSFP1M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-DACP-QSFP3M,"Wie lang ist das 40G-DACP-QSFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 40G-DACP-QSFP3M?||Das 40G-DACP-QSFP3M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-DACP-QSFP5M,"Wie lang ist das 40G-DACP-QSFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 40G-DACP-QSFP5M?||Das 40G-DACP-QSFP5M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-DACP-QSFP4SFP1M,"Wie lang ist das 40G-DACP-QSFP4SFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACP-QSFP4SFP2M,"Wie lang ist das 40G-DACP-QSFP4SFP2M?||Das Kabel hat eine feste Länge von 2 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACP-QSFP4SFP3M,"Wie lang ist das 40G-DACP-QSFP4SFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACP-QSFP4SFP5M,"Wie lang ist das 40G-DACP-QSFP4SFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACA-QSFP4SFP1M,"Wie lang ist das 40G-DACA-QSFP4SFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel ein Netzteil?||Nein. Die aktive Elektronik wird über die Ports versorgt, ein externes Netzteil entfällt.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACA-QSFP4SFP3M,"Wie lang ist das 40G-DACA-QSFP4SFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel ein Netzteil?||Nein. Die aktive Elektronik wird über die Ports versorgt, ein externes Netzteil entfällt.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-DACA-QSFP4SFP5M,"Wie lang ist das 40G-DACA-QSFP4SFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel ein Netzteil?||Nein. Die aktive Elektronik wird über die Ports versorgt, ein externes Netzteil entfällt.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
40G-AOC-QSFP3M,"Wie lang ist das 40G-AOC-QSFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 40G-AOC-QSFP3M?||Das 40G-AOC-QSFP3M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-AOC-QSFP5M,"Wie lang ist das 40G-AOC-QSFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 40G-AOC-QSFP5M?||Das 40G-AOC-QSFP5M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-AOC-QSFP10M,"Wie lang ist das 40G-AOC-QSFP10M?||Das Kabel hat eine feste Länge von 10 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 40G-AOC-QSFP10M?||Das 40G-AOC-QSFP10M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-AOC-QSFP20M,"Wie lang ist das 40G-AOC-QSFP20M?||Das Kabel hat eine feste Länge von 20 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 40G-AOC-QSFP20M?||Das 40G-AOC-QSFP20M hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-AOC-QSFP100,"Wie lang ist das 40G-AOC-QSFP100?||Das Kabel hat eine feste Länge von 100 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 40G-AOC-QSFP100?||Das 40G-AOC-QSFP100 hat den Formfaktor QSFP+ mit 40 Gbit/s."
40G-AOC-QSFP4SFP10M,"Wie lang ist das 40G-AOC-QSFP4SFP10M?||Das Kabel hat eine feste Länge von 10 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP+ auf und verbindet ihn mit mehreren Ports."
25G-SR-SFP100M,"Welche Reichweite erreicht der 25G-SR-SFP100M?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 25G-SR-SFP100M?||Das 25G-SR-SFP100M hat den Formfaktor SFP28 mit 25 Gbit/s nach 25GBASE-SR."
10502,"Welche Reichweite erreicht der 10502?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 10502?||Das 10502 hat den Formfaktor SFP28 mit 25 Gbit/s nach 25GBASE-SR (Lite FEC)."
10503,"Welche Reichweite erreicht der 10503?||Er überbrückt Strecken von bis zu 300 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 10503?||Das 10503 hat den Formfaktor SFP28 mit 25 Gbit/s nach 25GBASE-ESR."
25G-LR-SFP10KM,"Welche Reichweite erreicht der 25G-LR-SFP10KM?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 25G-LR-SFP10KM?||Das 25G-LR-SFP10KM hat den Formfaktor SFP28 mit 25 Gbit/s nach 25GBASE-LR."
25G-ER-SFP40KM,"Welche Reichweite erreicht der 25G-ER-SFP40KM?||Er überbrückt Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 25G-ER-SFP40KM?||Das 25G-ER-SFP40KM hat den Formfaktor SFP28 mit 25 Gbit/s nach 25GBASE-ER."
25G-DACP-SFPZ5M,"Wie lang ist das 25G-DACP-SFPZ5M?||Das Kabel hat eine feste Länge von 0,5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 25G-DACP-SFPZ5M?||Das 25G-DACP-SFPZ5M hat den Formfaktor SFP28 mit 25 Gbit/s."
25G-DACP-SFP1M,"Wie lang ist das 25G-DACP-SFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 25G-DACP-SFP1M?||Das 25G-DACP-SFP1M hat den Formfaktor SFP28 mit 25 Gbit/s."
25G-DACP-SFP3M,"Wie lang ist das 25G-DACP-SFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 25G-DACP-SFP3M?||Das 25G-DACP-SFP3M hat den Formfaktor SFP28 mit 25 Gbit/s."
25G-DACP-SFP5M,"Wie lang ist das 25G-DACP-SFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 25G-DACP-SFP5M?||Das 25G-DACP-SFP5M hat den Formfaktor SFP28 mit 25 Gbit/s."
20G-DACP-SFP-DDZ5M,"Wie lang ist das 20G-DACP-SFP-DDZ5M?||Das Kabel hat eine feste Länge von 0,5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-SFP-DDZ5M?||Das 20G-DACP-SFP-DDZ5M hat den Formfaktor SFP-DD mit 20 Gbit/s."
20G-DACP-SFP-DD1M,"Wie lang ist das 20G-DACP-SFP-DD1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-SFP-DD1M?||Das 20G-DACP-SFP-DD1M hat den Formfaktor SFP-DD mit 20 Gbit/s."
20G-DACP-SFP-DD3M,"Wie lang ist das 20G-DACP-SFP-DD3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-SFP-DD3M?||Das 20G-DACP-SFP-DD3M hat den Formfaktor SFP-DD mit 20 Gbit/s."
20G-DACP-SFP-DD5M,"Wie lang ist das 20G-DACP-SFP-DD5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-SFP-DD5M?||Das 20G-DACP-SFP-DD5M hat den Formfaktor SFP-DD mit 20 Gbit/s."
20G-DACP-SFP-DD2SFP1M,"Wie lang ist das 20G-DACP-SFP-DD2SFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 2x SFP+ auf und verbindet ihn mit mehreren Ports."
20G-DACP-SFP-DD2SFP3M,"Wie lang ist das 20G-DACP-SFP-DD2SFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 2x SFP+ auf und verbindet ihn mit mehreren Ports."
20G-DACP-SFP-DD2SFP5M,"Wie lang ist das 20G-DACP-SFP-DD2SFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 2x SFP+ auf und verbindet ihn mit mehreren Ports."
20G-DACP-QSFP1SFP-DD1M,"Wie lang ist das 20G-DACP-QSFP1SFP-DD1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-QSFP1SFP-DD1M?||Das 20G-DACP-QSFP1SFP-DD1M hat den Formfaktor QSFP+ mit 20 Gbit/s."
20G-DACP-QSFP1SFP-DD3M,"Wie lang ist das 20G-DACP-QSFP1SFP-DD3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 20G-DACP-QSFP1SFP-DD3M?||Das 20G-DACP-QSFP1SFP-DD3M hat den Formfaktor QSFP+ mit 20 Gbit/s."
