Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
IE-3100-4P2S-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Portanzahl,6,3,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Port-Konfiguration,4× 1G-RJ45 (PoE+) + 2× 1G-SFP,4,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,PoE,"Ja – PoE+ (802.3at), 120 W (Perpetual PoE)",7,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Switching-Kapazität,12 Gbit/s,8,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Durchsatz,"8,928 Mpps",9,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3100-4P2S-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; PoE+-/4PPoE-Versorgung für Kameras, Sensoren und Access-Points; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig",15,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Portanzahl,10,3,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Port-Konfiguration,8× 1G-RJ45 (PoE+) + 2× 1G-Combo,4,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,PoE,"Ja – PoE+ (802.3at), 240 W (Perpetual PoE)",7,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Durchsatz,"14,88 Mpps",9,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3100-8P2C-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; PoE+-/4PPoE-Versorgung für Kameras, Sensoren und Access-Points; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig",15,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Portanzahl,6,3,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Port-Konfiguration,3× 1G-RJ45 (PoE+) + 1× 1G-RJ45 (4PPoE 90W) + 2× 1G-SFP,4,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,PoE,"Ja – PoE+ (802.3at) + 4PPoE/802.3bt bis 90 W, 120 W (Perpetual PoE)",7,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Switching-Kapazität,12 Gbit/s,8,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Durchsatz,"8,928 Mpps",9,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3100-3P1U2S-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; PoE+-/4PPoE-Versorgung für Kameras, Sensoren und Access-Points; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig",15,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Portanzahl,10,3,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Port-Konfiguration,6× 1G-RJ45 (PoE+) + 2× 1G-RJ45 (4PPoE 90W) + 2× 1G-Combo,4,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,PoE,"Ja – PoE+ (802.3at) + 4PPoE/802.3bt bis 90 W, 240 W (Perpetual PoE)",7,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Durchsatz,"14,88 Mpps",9,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3100-6P2U2C-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; PoE+-/4PPoE-Versorgung für Kameras, Sensoren und Access-Points; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig",15,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Portanzahl,10,3,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Port-Konfiguration,8× 1G-RJ45 + 2× 1G-Combo,4,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,PoE,Nein,7,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Durchsatz,"14,88 Mpps",9,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3105-8T2C-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig; Layer-2-NAT (L2NAT) für überlappende IP-Netze",15,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Layer,L2,2,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Portanzahl,20,3,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Port-Konfiguration,18× 1G-RJ45 + 2× 1G-Combo,4,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,PoE,Nein,7,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Switching-Kapazität,40 Gbit/s,8,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Durchsatz,"29,76 Mpps",9,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Bauform,DIN-Schienen-Montage (kompakt; 19-Zoll-Montage über optionales Kit STK-RACK-DINRAIL),10,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Stromversorgung,"Doppelte DC-Eingänge (12–54 V DC, redundant); AC über externes Netzteil (PWR-IE…)",11,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Kühlung,Lüfterlos (Konvektionskühlung),12,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Betriebstemperatur,-40 bis 75 °C,14,Wertliste,Attribut
IE-3105-18T2C-E,,Switch,Anwendung,"Industrieller Einsatz im Schaltschrank – Fertigung, Umspannwerk, Verkehrstechnik (ITS), Bahn, Bergbau und Outdoor; lüfterlose DIN-Schienen-Montage, -40 bis 75 °C, doppelte DC-Versorgung; Ringredundanz über MRP/REP/G.8032; PROFINET-, EtherNet/IP- und Modbus-fähig; Layer-2-NAT (L2NAT) für überlappende IP-Netze",15,Wertliste,Attribut
