Artikelnummer,FAQ
C1000-16FP-2G-L,"Wie viele Ports hat der C1000-16FP-2G-L?||Der C1000-16FP-2G-L bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000-16FP-2G-L?||Der C1000-16FP-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-16FP-2G-L?||Der C1000-16FP-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 240 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-16FP-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-16FP-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24T-4G-L,"Wie viele Ports hat der C1000-24T-4G-L?||Der C1000-24T-4G-L bietet insgesamt 28 Ports: 24× 1G-RJ45 + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-24T-4G-L?||Der C1000-24T-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-24T-4G-L PoE?||Nein, der C1000-24T-4G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-24T-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24T-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24P-4G-L,"Wie viele Ports hat der C1000-24P-4G-L?||Der C1000-24P-4G-L bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-24P-4G-L?||Der C1000-24P-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-24P-4G-L?||Der C1000-24P-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 195 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-24P-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24P-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24FP-4G-L,"Wie viele Ports hat der C1000-24FP-4G-L?||Der C1000-24FP-4G-L bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-24FP-4G-L?||Der C1000-24FP-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-24FP-4G-L?||Der C1000-24FP-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-24FP-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24FP-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48T-4G-L,"Wie viele Ports hat der C1000-48T-4G-L?||Der C1000-48T-4G-L bietet insgesamt 52 Ports: 48× 1G-RJ45 + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-48T-4G-L?||Der C1000-48T-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-48T-4G-L PoE?||Nein, der C1000-48T-4G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-48T-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48T-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48P-4G-L,"Wie viele Ports hat der C1000-48P-4G-L?||Der C1000-48P-4G-L bietet insgesamt 52 Ports: 48× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-48P-4G-L?||Der C1000-48P-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-48P-4G-L?||Der C1000-48P-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-48P-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48P-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48FP-4G-L,"Wie viele Ports hat der C1000-48FP-4G-L?||Der C1000-48FP-4G-L bietet insgesamt 52 Ports: 48× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Welches Betriebssystem nutzt der C1000-48FP-4G-L?||Der C1000-48FP-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-48FP-4G-L?||Der C1000-48FP-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 740 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-48FP-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48FP-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24T-4X-L,"Wie viele Ports hat der C1000-24T-4X-L?||Der C1000-24T-4X-L bietet insgesamt 28 Ports: 24× 1G-RJ45 + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-24T-4X-L?||Der C1000-24T-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-24T-4X-L PoE?||Nein, der C1000-24T-4X-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-24T-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24T-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24P-4X-L,"Wie viele Ports hat der C1000-24P-4X-L?||Der C1000-24P-4X-L bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-24P-4X-L?||Der C1000-24P-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-24P-4X-L?||Der C1000-24P-4X-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 195 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-24P-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24P-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-24FP-4X-L,"Wie viele Ports hat der C1000-24FP-4X-L?||Der C1000-24FP-4X-L bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-24FP-4X-L?||Der C1000-24FP-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-24FP-4X-L?||Der C1000-24FP-4X-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-24FP-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-24FP-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48T-4X-L,"Wie viele Ports hat der C1000-48T-4X-L?||Der C1000-48T-4X-L bietet insgesamt 52 Ports: 48× 1G-RJ45 + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-48T-4X-L?||Der C1000-48T-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-48T-4X-L PoE?||Nein, der C1000-48T-4X-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-48T-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48T-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48P-4X-L,"Wie viele Ports hat der C1000-48P-4X-L?||Der C1000-48P-4X-L bietet insgesamt 52 Ports: 48× 1G-RJ45 (PoE+) + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-48P-4X-L?||Der C1000-48P-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-48P-4X-L?||Der C1000-48P-4X-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-48P-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48P-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-48FP-4X-L,"Wie viele Ports hat der C1000-48FP-4X-L?||Der C1000-48FP-4X-L bietet insgesamt 52 Ports: 48× 1G-RJ45 (PoE+) + 4× 10G-SFP+.##Welches Betriebssystem nutzt der C1000-48FP-4X-L?||Der C1000-48FP-4X-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-48FP-4X-L?||Der C1000-48FP-4X-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 740 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-48FP-4X-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-48FP-4X-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000FE-24T-4G-L,"Wie viele Ports hat der C1000FE-24T-4G-L?||Der C1000FE-24T-4G-L bietet insgesamt 28 Ports: 24× 100M-RJ45 (FE) + 2× 1G-Combo + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000FE-24T-4G-L?||Der C1000FE-24T-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000FE-24T-4G-L PoE?||Nein, der C1000FE-24T-4G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000FE-24T-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000FE-24T-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000FE-24P-4G-L,"Wie viele Ports hat der C1000FE-24P-4G-L?||Der C1000FE-24P-4G-L bietet insgesamt 28 Ports: 24× 100M-RJ45 (FE, PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000FE-24P-4G-L?||Der C1000FE-24P-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000FE-24P-4G-L?||Der C1000FE-24P-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 195 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000FE-24P-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000FE-24P-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000FE-48T-4G-L,"Wie viele Ports hat der C1000FE-48T-4G-L?||Der C1000FE-48T-4G-L bietet insgesamt 52 Ports: 48× 100M-RJ45 (FE) + 2× 1G-Combo + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000FE-48T-4G-L?||Der C1000FE-48T-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000FE-48T-4G-L PoE?||Nein, der C1000FE-48T-4G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000FE-48T-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000FE-48T-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000FE-48P-4G-L,"Wie viele Ports hat der C1000FE-48P-4G-L?||Der C1000FE-48P-4G-L bietet insgesamt 52 Ports: 48× 100M-RJ45 (FE, PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000FE-48P-4G-L?||Der C1000FE-48P-4G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000FE-48P-4G-L?||Der C1000FE-48P-4G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000FE-48P-4G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000FE-48P-4G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
