Artikelnummer,FAQ
WS-X6848-SFP-2T,"Wofür wird die WS-X6848-SFP-2T verwendet?||Die WS-X6848-SFP-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 48 Ports bereit (48× 1G-SFP).##In welche Chassis passt die WS-X6848-SFP-2T?||Die WS-X6848-SFP-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6848-SFP-2T ein eigenständiger Switch?||Nein – die WS-X6848-SFP-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6848-SFP-2T ungebraucht?||Ja – Hexwaren führt die WS-X6848-SFP-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6848-SFP-2TXL,"Wofür wird die WS-X6848-SFP-2TXL verwendet?||Die WS-X6848-SFP-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 48 Ports bereit (48× 1G-SFP).##In welche Chassis passt die WS-X6848-SFP-2TXL?||Die WS-X6848-SFP-2TXL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6848-SFP-2TXL ein eigenständiger Switch?||Nein – die WS-X6848-SFP-2TXL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6848-SFP-2TXL ungebraucht?||Ja – Hexwaren führt die WS-X6848-SFP-2TXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6816-10G-2T,"Wofür wird die WS-X6816-10G-2T verwendet?||Die WS-X6816-10G-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 16 Ports bereit (16× 10G-X2).##In welche Chassis passt die WS-X6816-10G-2T?||Die WS-X6816-10G-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6816-10G-2T ein eigenständiger Switch?||Nein – die WS-X6816-10G-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6816-10G-2T ungebraucht?||Ja – Hexwaren führt die WS-X6816-10G-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6816-10G-2TXL,"Wofür wird die WS-X6816-10G-2TXL verwendet?||Die WS-X6816-10G-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 16 Ports bereit (16× 10G-X2).##In welche Chassis passt die WS-X6816-10G-2TXL?||Die WS-X6816-10G-2TXL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6816-10G-2TXL ein eigenständiger Switch?||Nein – die WS-X6816-10G-2TXL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6816-10G-2TXL ungebraucht?||Ja – Hexwaren führt die WS-X6816-10G-2TXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6908-10G-2T,"Wofür wird die WS-X6908-10G-2T verwendet?||Die WS-X6908-10G-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 8 Ports bereit (8× 10G-X2).##In welche Chassis passt die WS-X6908-10G-2T?||Die WS-X6908-10G-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6908-10G-2T ein eigenständiger Switch?||Nein – die WS-X6908-10G-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6908-10G-2T ungebraucht?||Ja – Hexwaren führt die WS-X6908-10G-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6908-10G-2TXL,"Wofür wird die WS-X6908-10G-2TXL verwendet?||Die WS-X6908-10G-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 8 Ports bereit (8× 10G-X2).##In welche Chassis passt die WS-X6908-10G-2TXL?||Die WS-X6908-10G-2TXL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6908-10G-2TXL ein eigenständiger Switch?||Nein – die WS-X6908-10G-2TXL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6908-10G-2TXL ungebraucht?||Ja – Hexwaren führt die WS-X6908-10G-2TXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6904-40G-2T,"Wofür wird die WS-X6904-40G-2T verwendet?||Die WS-X6904-40G-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 4 Ports bereit (4× 40G-CFP).##In welche Chassis passt die WS-X6904-40G-2T?||Die WS-X6904-40G-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6904-40G-2T ein eigenständiger Switch?||Nein – die WS-X6904-40G-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6904-40G-2T ungebraucht?||Ja – Hexwaren führt die WS-X6904-40G-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6904-40G-2TXL,"Wofür wird die WS-X6904-40G-2TXL verwendet?||Die WS-X6904-40G-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 4 Ports bereit (4× 40G-CFP).##In welche Chassis passt die WS-X6904-40G-2TXL?||Die WS-X6904-40G-2TXL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6904-40G-2TXL ein eigenständiger Switch?||Nein – die WS-X6904-40G-2TXL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6904-40G-2TXL ungebraucht?||Ja – Hexwaren führt die WS-X6904-40G-2TXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6824-SFP-2T,"Wofür wird die WS-X6824-SFP-2T verwendet?||Die WS-X6824-SFP-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 24 Ports bereit (24× 1G-SFP).##In welche Chassis passt die WS-X6824-SFP-2T?||Die WS-X6824-SFP-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6824-SFP-2T ein eigenständiger Switch?||Nein – die WS-X6824-SFP-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6824-SFP-2T ungebraucht?||Ja – Hexwaren führt die WS-X6824-SFP-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-32P10G,"Wofür wird die C6800-32P10G verwendet?||Die C6800-32P10G ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 32 Ports bereit (32× 10G-SFP+).##In welche Chassis passt die C6800-32P10G?||Die C6800-32P10G ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-32P10G ein eigenständiger Switch?||Nein – die C6800-32P10G ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-32P10G ungebraucht?||Ja – Hexwaren führt die C6800-32P10G ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-32P10G-XL,"Wofür wird die C6800-32P10G-XL verwendet?||Die C6800-32P10G-XL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 32 Ports bereit (32× 10G-SFP+).##In welche Chassis passt die C6800-32P10G-XL?||Die C6800-32P10G-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-32P10G-XL ein eigenständiger Switch?||Nein – die C6800-32P10G-XL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-32P10G-XL ungebraucht?||Ja – Hexwaren führt die C6800-32P10G-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-16P10G,"Wofür wird die C6800-16P10G verwendet?||Die C6800-16P10G ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 16 Ports bereit (16× 10G-SFP+).##In welche Chassis passt die C6800-16P10G?||Die C6800-16P10G ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-16P10G ein eigenständiger Switch?||Nein – die C6800-16P10G ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-16P10G ungebraucht?||Ja – Hexwaren führt die C6800-16P10G ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-16P10G-XL,"Wofür wird die C6800-16P10G-XL verwendet?||Die C6800-16P10G-XL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 16 Ports bereit (16× 10G-SFP+).##In welche Chassis passt die C6800-16P10G-XL?||Die C6800-16P10G-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-16P10G-XL ein eigenständiger Switch?||Nein – die C6800-16P10G-XL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-16P10G-XL ungebraucht?||Ja – Hexwaren führt die C6800-16P10G-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-8P10G,"Wofür wird die C6800-8P10G verwendet?||Die C6800-8P10G ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 8 Ports bereit (8× 10G-SFP+).##In welche Chassis passt die C6800-8P10G?||Die C6800-8P10G ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-8P10G ein eigenständiger Switch?||Nein – die C6800-8P10G ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-8P10G ungebraucht?||Ja – Hexwaren führt die C6800-8P10G ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-8P10G-XL,"Wofür wird die C6800-8P10G-XL verwendet?||Die C6800-8P10G-XL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 8 Ports bereit (8× 10G-SFP+).##In welche Chassis passt die C6800-8P10G-XL?||Die C6800-8P10G-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-8P10G-XL ein eigenständiger Switch?||Nein – die C6800-8P10G-XL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-8P10G-XL ungebraucht?||Ja – Hexwaren führt die C6800-8P10G-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-48P-TX,"Wofür wird die C6800-48P-TX verwendet?||Die C6800-48P-TX ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45).##In welche Chassis passt die C6800-48P-TX?||Die C6800-48P-TX ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-48P-TX ein eigenständiger Switch?||Nein – die C6800-48P-TX ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-48P-TX ungebraucht?||Ja – Hexwaren führt die C6800-48P-TX ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-48P-TX-XL,"Wofür wird die C6800-48P-TX-XL verwendet?||Die C6800-48P-TX-XL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45).##In welche Chassis passt die C6800-48P-TX-XL?||Die C6800-48P-TX-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-48P-TX-XL ein eigenständiger Switch?||Nein – die C6800-48P-TX-XL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-48P-TX-XL ungebraucht?||Ja – Hexwaren führt die C6800-48P-TX-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-48P-SFP,"Wofür wird die C6800-48P-SFP verwendet?||Die C6800-48P-SFP ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 48 Ports bereit (48× 1G-SFP).##In welche Chassis passt die C6800-48P-SFP?||Die C6800-48P-SFP ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-48P-SFP ein eigenständiger Switch?||Nein – die C6800-48P-SFP ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-48P-SFP ungebraucht?||Ja – Hexwaren führt die C6800-48P-SFP ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-48P-SFP-XL,"Wofür wird die C6800-48P-SFP-XL verwendet?||Die C6800-48P-SFP-XL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X-Chassis und stellt 48 Ports bereit (48× 1G-SFP).##In welche Chassis passt die C6800-48P-SFP-XL?||Die C6800-48P-SFP-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E / Catalyst 6800-X kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-48P-SFP-XL ein eigenständiger Switch?||Nein – die C6800-48P-SFP-XL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-48P-SFP-XL ungebraucht?||Ja – Hexwaren führt die C6800-48P-SFP-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
